TimeStamp,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz,Activity
1.55421E+12,-9.672575,-0.27353755,1.6561891,-0.004261058,0.037284255,-0.001065265,9.66,46.26,-28.26,4
1.55421E+12,-9.572019,-0.18734628,1.7184383,-0.022370555,0.03089267,0.004261058,9.72,46.2,-28.38,4
1.55421E+12,-9.591172,-0.25917232,1.7711107,-0.033023197,0.025566347,0.008522116,9.78,46.14,-28.44,4
1.55421E+12,-9.514558,-0.3597288,1.5795746,-0.027696876,0.025566347,0.007456851,9.72,46.08,-28.44,4
1.55421E+12,-9.414001,-0.27353755,1.7088615,-0.022370555,0.020240024,0.007456851,9.72,45.96,-28.5,4
1.55421E+12,-9.519346,-0.30705637,1.775899,-0.00958738,0.011717909,0.002130529,9.72,45.9,-28.56,4
1.55421E+12,-9.466674,-0.30226797,1.785476,-0.00958738,0.012783174,-0.004261058,9.72,45.9,-28.56,4
1.55421E+12,-9.452309,-0.16340427,1.7567455,-0.00958738,0.012783174,-0.014913702,9.78,45.84,-28.62,4
1.55421E+12,-9.5385,-0.24480712,1.6753427,0.001065265,0.008522116,-0.026631612,9.78,45.84,-28.62,4
1.55421E+12,-9.519346,-0.29269117,1.6178818,0.013848438,0.010652645,-0.036218993,9.84,45.78,-28.62,4
1.55421E+12,-9.5385,-0.25438392,1.7328035,0.025566347,0.008522116,-0.043675844,9.84,45.78,-28.68,4
1.55421E+12,-9.543288,-0.3788824,1.7136499,0.033023197,0.007456851,-0.0479369,9.84,45.78,-28.68,4
1.55421E+12,-9.715671,-0.3309984,1.6561891,0.040480047,-0.007456851,-0.054328486,9.9,45.72,-28.74,4
1.55421E+12,-9.672575,-0.31184477,1.7663223,0.04474111,-0.01917476,-0.053263225,9.9,45.66,-28.8,4
1.55421E+12,-9.691729,-0.38367084,1.6944963,0.0479369,-0.022370555,-0.04580637,9.84,45.6,-28.8,4
1.55421E+12,-9.725247,-0.29747957,1.775899,0.049002163,-0.029827405,-0.03195793,9.84,45.54,-28.8,4
1.55421E+12,-9.552865,-0.25917232,1.775899,0.05539375,-0.03195793,-0.014913702,9.84,45.48,-28.8,4
1.55421E+12,-9.615114,-0.2208651,1.6514006,0.06498113,-0.027696876,-0.006391587,9.84,45.48,-28.8,4
1.55421E+12,-9.500193,-0.09636662,1.857302,0.05539375,-0.022370555,-0.001065265,9.84,45.42,-28.8,4
1.55421E+12,-9.471462,-0.10594343,1.5891514,0.036218993,-0.013848438,-0.001065265,9.84,45.42,-28.8,4
1.55421E+12,-9.533711,-0.010175358,1.7615339,0.02130529,-0.006391587,-0.005326322,9.84,45.48,-28.8,4
1.55421E+12,-9.524135,-0.29747957,1.775899,0.022370555,0.007456851,-0.00958738,9.84,45.48,-28.8,4
1.55421E+12,-9.605537,-0.23044191,2.0201077,0.034088463,0.013848438,-0.012783174,9.84,45.54,-28.8,4
1.55421E+12,-9.548077,-0.26396075,1.9195513,0.056459017,0.01917476,-0.018109497,9.84,45.6,-28.74,4
1.55421E+12,-9.619903,-0.39324763,1.7711107,0.08841695,0.022370555,-0.029827405,9.84,45.6,-28.8,4
1.55421E+12,-9.457097,-0.5081693,1.7902644,0.13209279,0.020240024,-0.04261058,9.84,45.66,-28.92,4
1.55421E+12,-9.528923,-0.4890157,2.0201077,0.15978967,0.017044231,-0.049002163,9.84,45.66,-28.92,4
1.55421E+12,-9.466674,-0.46986207,1.8381484,0.19707392,0.011717909,-0.054328486,9.84,45.6,-28.98,4
1.55421E+12,-9.32781,-0.46986207,2.0488381,0.23648871,0.00958738,-0.060720075,9.78,45.54,-28.98,4
1.55421E+12,-9.442732,-0.44113165,1.8908207,0.28868666,0.010652645,-0.07243799,9.78,45.42,-28.98,4
1.55421E+12,-9.423578,-0.43155485,1.9722236,0.33662358,0.015978966,-0.08628642,9.72,45.36,-29.04,4
1.55421E+12,-9.481039,-0.5081693,1.8860323,0.39095205,0.015978966,-0.101200126,9.72,45.36,-29.1,4
1.55421E+12,-9.572019,-0.5943606,1.7806876,0.4495416,0.00958738,-0.112918034,9.66,45.3,-29.1,4
1.55421E+12,-9.557653,-0.5081693,1.7423803,0.515588,0,-0.12144015,9.66,45.24,-29.1,4
1.55421E+12,-9.619903,-0.6183026,1.7567455,0.5763081,-0.01917476,-0.12996227,9.66,45.24,-29.16,4
1.55421E+12,-9.557653,-0.6422446,1.5221137,0.62744075,-0.049002163,-0.13848437,9.66,45.18,-29.28,4
1.55421E+12,-9.581595,-0.623091,1.2156559,0.65726817,-0.084155895,-0.14594123,9.66,45.06,-29.64,4
1.55421E+12,-9.710882,-0.7380127,0.6985083,0.6402239,-0.14061491,-0.14594123,9.66,45,-29.94,4
1.55421E+12,-10.031705,-0.84335756,0.65541273,0.5603291,-0.23329292,-0.12996227,9.72,44.82,-30.3,4
1.55421E+12,-10.213664,-1.0253168,0.46387658,0.47404268,-0.3057309,-0.111852765,9.66,44.64,-30.6,4
1.55421E+12,-10.414778,-1.2838906,0.85173726,0.3717773,-0.42717105,-0.07243799,9.54,44.4,-30.96,4
1.55421E+12,-10.419566,-0.943914,1.5316905,0.44421527,-0.5209143,-0.018109497,9.42,44.16,-31.44,4
1.55421E+12,-9.763555,-0.27353755,2.5803509,0.5997439,-0.5901565,0.12250541,9.24,43.86,-31.86,4
1.55421E+12,-9.141062,0.10474633,3.0160956,0.71159667,-0.52837116,0.30679616,9.12,43.5,-32.28,4
1.55421E+12,-8.6095495,1.3210008,3.221997,0.680704,-0.40586576,0.27803403,8.94,43.08,-32.52,4
